RAJ2000;DEJ2000;logT;logL;AV;logAc;M.S0;logA0;M.P9;logA9;Mm
"h:m:s";"d:m:s";[K];[Lsun];mag;[-];Msun;[yr];Msun;[yr];%
-----------;------------;------;------;------;-----;------;------;------;------;--
05 35 22.37;-05 27 28.30; 3.505;-0.300; 3.694;-0.81; 0.250; 5.673; 0.157; 5.429;99
05 35 25.46;-05 34 02.49; 3.495;-0.810; 0.673;-2.54; 0.190; 6.409; 0.135; 5.921;99
05 35 14.45;-05 17 25.50; 3.569;-0.190; 4.395;-1.20; 0.465; 6.114; 0.465; 6.089;99
05 35 52.20;-05 39 24.73; 3.547;-0.679; 1.701;-1.97; 0.360; 6.520; 0.345; 6.365;
05 35 33.41;-05 39 21.32; 3.537;-0.880; 0.602;-3.07; 0.310; 6.675; 0.295; 6.480;
05 34 50.86;-05 39 29.21; 3.507;-0.708; 1.334;-5.00; 0.233; 6.370; 0.168; 5.927;
05 34 48.78;-05 17 46.42; 3.524;-0.186; 4.316;-1.12; 0.295; 5.979; 0.220; 5.591;99
05 35 20.57;-05 20 43.27; 3.533;-0.410; 3.118;-1.57; 0.322; 6.180; 0.275; 5.896;
05 35 08.02;-05 36 46.69; 3.524;-0.876; 0.615;-2.18; 0.270; 6.584; 0.235; 6.300;99
05 34 29.49;-05 13 55.20; 3.631;-0.795; 5.304;-0.05; 0.715; 7.721; 0.685; 7.625;96
05 35 21.88;-05 17 03.49; 3.511;-0.801; 0.933;-5.00; 0.235; 6.449; 0.180; 6.082;
05 35 06.54;-05 25 01.45; 3.515;-0.810; 0.911;-5.00; 0.245; 6.469; 0.190; 6.129;99
05 35 18.20;-05 16 34.06; 3.505;-0.887; 0.435;-5.00; 0.210; 6.486; 0.162; 6.113;99
05 35 51.77;-05 17 39.46; 3.515;-0.939; 0.239;-5.00; 0.235; 6.582; 0.192; 6.264;
05 35 13.04;-05 20 30.31; 3.624;-0.309; 3.767;-5.00; 0.947; 6.903; 0.885; 6.843;99
05 35 24.50;-05 25 01.44; 3.569;-0.562; 3.335;-0.36; 0.465; 6.570; 0.475; 6.516;99
05 35 42.29;-05 15 07.97; 3.577;-0.664; 1.960;-1.67; 0.515; 6.811; 0.540; 6.785;99
05 35 21.67;-05 21 47.06; 3.569;-0.553; 2.518;-5.00; 0.465; 6.554; 0.475; 6.502;54
05 35 17.95;-05 35 15.79; 3.533;-0.409; 3.645;-0.58; 0.322; 6.180; 0.275; 5.896;99
05 34 57.02;-05 23 00.04; 3.515;-0.840; 0.841;-2.09; 0.243; 6.493; 0.190; 6.168;99
05 36 01.39;-05 19 10.71; 3.485;-0.956; 0.000;-5.00; 0.153; 6.471; 0.110; 6.015;99
05 35 55.97;-05 42 26.38; 3.532;-0.904; 0.596;-5.00; 0.290; 6.657; 0.270; 6.436;
05 34 20.73;-05 32 35.15; 3.495;-0.971; 0.000;-5.00; 0.175; 6.497; 0.135; 6.111;
05 34 20.99;-05 24 48.55; 3.524;-0.991; 0.110;-5.00; 0.257; 6.696; 0.235; 6.438;
05 35 47.24;-05 17 43.40; 3.495;-0.894; 0.428;-5.00; 0.183; 6.456; 0.135; 6.027;99
05 34 55.60;-05 29 37.58; 3.505;-0.725; 1.435;-1.65; 0.225; 6.374; 0.162; 5.929;99
05 35 55.44;-05 23 43.02; 3.495;-0.907; 0.369;-5.00; 0.183; 6.465; 0.135; 6.039;99
05 35 16.28;-05 32 02.23; 3.485;-0.577; 2.097;-1.40; 0.190; 5.975; 0.102; 5.288;99
05 35 19.81;-05 22 21.62; 3.550;-0.951; 1.124;-0.47; 0.352; 6.880; 0.355; 6.784;
05 34 37.57;-05 43 10.66; 3.543;-0.791; 1.299;-5.00; 0.338; 6.610; 0.325; 6.446;
05 35 30.72;-05 24 31.05; 3.495;-0.388; 3.339;-0.90; 0.225; 5.584; 0.130; 5.345;99
05 34 05.96;-05 22 43.61; 3.585;-0.214; 4.472;-1.56; 0.565; 6.268; 0.590; 6.276;
05 35 46.05;-05 17 49.57; 3.515;-0.056; 5.178;-1.05; 0.273; 5.155; 0.180; 5.099;99
05 35 13.01;-05 19 04.16; 3.624;-0.366; 6.621;-0.09; 0.933; 6.995; 0.870; 6.912;
05 35 41.30;-05 38 32.98; 3.515;-0.786; 1.242;-2.33; 0.248; 6.446; 0.190; 6.103;
05 35 25.24;-05 33 21.11; 3.515;-0.198; 4.654;-0.72; 0.273; 5.766; 0.185; 5.485;99
05 35 26.46;-05 30 16.46; 3.517;-0.236; 4.475;-0.71; 0.278; 5.856; 0.190; 5.588;
05 35 21.93;-05 28 27.28; 3.524;-0.272; 4.393;-0.65; 0.295; 6.047; 0.225; 5.666;99
05 35 01.83;-05 30 19.31; 3.505;-0.964; 0.244;-5.00; 0.200; 6.543; 0.162; 6.198;99
05 35 17.98;-05 15 38.68; 3.597;-0.244; 4.996;-0.45; 0.668; 6.445; 0.690; 6.466;99
05 34 46.79;-05 21 29.15; 3.542;-0.910; 0.757;-5.00; 0.325; 6.750; 0.320; 6.598;99
05 34 56.76;-05 26 37.24; 3.485;-0.926; 0.309;-5.00; 0.155; 6.457; 0.108; 5.970;99
05 35 24.31;-05 28 44.12; 3.468;-0.489; 2.552;-1.33; 0.153; 5.178;      ;      ;99
05 35 43.00;-05 23 02.41; 3.551;-0.758; 1.788;-0.93; 0.370; 6.646; 0.365; 6.529;99
05 35 13.21;-05 20 52.82; 3.591;-0.369; 5.058;-0.25; 0.620; 6.557; 0.640; 6.555;99
05 35 31.03;-05 18 45.18; 3.476;-0.777; 1.084;-2.40; 0.147; 5.748; 0.100; 5.563;99
05 35 28.78;-05 41 34.04; 3.532;-0.931; 0.672;-2.74; 0.287; 6.686; 0.270; 6.463;
05 35 21.15;-05 18 21.39; 3.515;-0.612; 2.275;-1.83; 0.260; 6.309; 0.190; 5.899;
05 35 07.45;-05 26 40.06; 3.495;-0.831; 0.954;-5.00; 0.188; 6.424; 0.135; 5.956;99
05 35 12.78;-05 20 39.13; 3.495;-1.015; 0.000;-5.00; 0.172; 6.524; 0.135; 6.148;99
05 35 01.61;-05 24 10.16; 3.495;-0.552; 2.496;-1.35; 0.213; 6.231; 0.130; 5.415;99
05 35 23.96;-05 19 07.62; 3.524;-0.722; 1.848;-1.22; 0.280; 6.426; 0.230; 6.145;99
05 35 03.97;-05 18 59.90; 3.515;-0.669; 2.047;-1.47; 0.257; 6.358; 0.190; 5.956;99
05 35 12.70;-05 27 10.53; 3.472;-0.680; 1.602;-5.00; 0.147; 5.485;      ;      ;99
05 35 18.26;-05 29 53.79; 3.524;-0.152; 5.155;-0.65; 0.295; 5.925; 0.220; 5.531;99
05 35 09.28;-05 16 56.08; 3.548;-1.081; 0.000;-5.00; 0.333; 7.019; 0.350; 6.977;
05 35 06.15;-05 19 55.60; 3.515;-0.551; 2.705;-1.27; 0.262; 6.263; 0.190; 5.837;99
05 34 59.19;-05 23 07.84; 3.495;-0.350; 3.679;-1.03; 0.228; 5.536; 0.127; 5.300;99
05 35 16.26;-05 31 00.74; 3.505;-0.809; 1.226;-1.75; 0.218; 6.433; 0.162; 6.026;99
05 35 07.84;-05 29 17.45; 3.524;-0.835; 1.195;-5.00; 0.273; 6.543; 0.230; 6.257;99
05 35 31.56;-05 16 36.90; 3.483;-0.816; 0.996;-5.00; 0.162; 6.379; 0.102; 5.607;
05 35 48.71;-05 42 14.45; 3.517;-0.971; 0.449;-5.00; 0.237; 6.622; 0.198; 6.311;
05 35 26.18;-05 25 20.36; 3.515;-0.954; 0.532;-5.00; 0.233; 6.595; 0.192; 6.274;
05 34 57.15;-05 33 29.53; 3.515;-0.423; 3.417;-1.26; 0.270; 6.083; 0.188; 5.670;99
05 34 48.28;-05 32 35.13; 3.542;-0.076; 5.842;-0.52; 0.355; 5.976; 0.315; 5.463;99
05 35 25.33;-05 25 29.46; 3.518;-0.249; 4.647;-0.69; 0.282; 5.921; 0.198; 5.630;
05 35 20.32;-05 36 39.53; 3.495;-0.080; 5.225;-0.90; 0.228; 4.936; 0.138; 5.000;99
05 35 16.96;-05 22 48.67; 3.624;-1.373; 1.579;-0.09;      ;      ;      ;      ;99
05 34 49.07;-05 26 26.64; 3.533;-0.710; 2.442;-0.58; 0.310; 6.460; 0.275; 6.231;99
05 35 08.04;-05 36 14.14; 3.501;-0.264; 4.162;-1.37; 0.243; 5.561; 0.145; 5.312;
05 34 52.85;-05 33 48.35; 3.524;-0.706; 2.038;-1.25; 0.282; 6.413; 0.230; 6.134;99
05 35 14.45;-05 32 46.53; 3.515;-0.579; 2.708;-1.06; 0.262; 6.290; 0.190; 5.858;99
05 35 12.16;-05 30 20.13; 3.485;-0.552; 2.573;-1.26; 0.190; 5.816; 0.102; 5.279;99
05 36 03.86;-05 30 18.76; 3.495;-1.055; 0.000;-1.45; 0.170; 6.552; 0.135; 6.196;99
05 35 31.41;-05 28 16.35; 3.495;-0.426; 3.471;-0.90; 0.222; 5.653; 0.130; 5.366;99
05 35 05.89;-05 27 08.92; 3.597;-0.263; 5.932;-0.22; 0.670; 6.478; 0.690; 6.492;99
05 34 44.41;-05 26 06.17; 3.495;-0.365; 3.795;-0.90; 0.225; 5.538; 0.130; 5.327;99
05 35 19.75;-05 39 35.62; 3.530;-1.051; 0.224;-5.00; 0.270; 6.806; 0.260; 6.609;
05 35 31.69;-05 42 46.01; 3.530;-1.007; 0.455;-5.00; 0.275; 6.760; 0.260; 6.540;
05 34 07.80;-05 22 32.34; 3.533;-1.090; 0.053;-5.00; 0.280; 6.888; 0.280; 6.725;
05 34 33.83;-05 27 18.12; 3.476;-0.881; 0.755;-2.62; 0.138; 6.215; 0.100; 5.737;99
05 34 54.19;-05 28 54.33; 3.585;-0.351; 4.359;-0.74; 0.572; 6.458; 0.600; 6.479;99
05 35 27.74;-05 18 04.66; 3.569;-0.129; 6.127;-0.36; 0.465; 6.059; 0.465; 5.927;99
05 34 56.78;-05 10 43.86; 3.515;-0.913; 0.927;-5.00; 0.237; 6.556; 0.192; 6.236;97
05 35 13.02;-05 22 00.89; 3.551;-0.878; 1.287;-5.00; 0.365; 6.799; 0.365; 6.704;99
05 35 12.59;-05 20 43.02; 3.505;-1.078; 0.000;-5.00; 0.192; 6.632; 0.165; 6.309;99
05 35 21.24;-05 22 59.57; 3.533;-0.623; 3.046;-0.58; 0.315; 6.362; 0.275; 6.155;99
05 35 25.46;-05 21 34.38; 3.624;-0.378; 4.017;-5.00; 0.930; 7.013; 0.865; 6.920;80
05 35 22.28;-05 31 16.89; 3.476;-0.693; 1.893;-1.58; 0.155; 5.576;      ;      ;99
05 34 57.92;-05 29 46.04; 3.533;-0.756; 1.924;-3.09; 0.308; 6.504; 0.275; 6.268;99
05 34 32.23;-05 41 48.46; 3.513;-0.982; 0.647;-2.12; 0.225; 6.608; 0.188; 6.286;
05 35 57.40;-05 25 08.64; 3.495;-1.077; 0.000;-5.00; 0.168; 6.560; 0.135; 6.217;99
05 34 41.62;-05 23 57.45; 3.495;-0.702; 2.006;-1.63; 0.200; 6.357; 0.132; 5.661;99
05 35 16.30;-05 20 25.25; 3.495;-0.816; 1.374;-5.00; 0.190; 6.416; 0.135; 5.921;95
05 34 29.99;-05 25 17.37; 3.472;-1.010; 0.192;-3.55; 0.117; 6.377;      ;      ;99
05 35 18.36;-05 20 16.51; 3.505;-0.447; 3.669;-0.81; 0.245; 6.028; 0.157; 5.510;99
05 34 12.02;-05 24 19.65; 3.524;-0.549; 3.047;-1.42; 0.290; 6.269; 0.230; 5.945;
05 35 03.23;-05 17 53.33; 3.476;-0.847; 1.071;-5.00; 0.140; 6.078; 0.100; 5.650;99
05 35 19.87;-05 30 32.19; 3.485;-0.733; 1.950;-0.97; 0.172; 6.327; 0.105; 5.536;99
05 35 23.75;-05 18 40.03; 3.551;-0.798; 1.871;-1.72; 0.370; 6.695; 0.365; 6.585;99
05 35 23.33;-05 21 25.40; 3.597;-0.532; 4.749;-0.22; 0.702; 6.911; 0.680; 6.846;99
05 35 47.66;-05 19 14.41; 3.551;-0.739; 2.206;-1.58; 0.373; 6.627; 0.365; 6.501;77
05 35 34.37;-05 26 59.63; 3.497;-0.508; 3.074;-5.00; 0.222; 6.125; 0.138; 5.434;
05 35 42.67;-05 25 45.16; 3.524;-0.209; 5.239;-0.65; 0.295; 6.003; 0.220; 5.615;99
05 35 17.98;-05 30 31.54; 3.485;-0.495; 3.273;-0.97; 0.195; 5.586; 0.102; 5.257;99
05 35 16.60;-05 19 35.79; 3.585;-0.506; 3.489;-5.00; 0.582; 6.689; 0.605; 6.698;99
05 35 10.29;-05 19 56.41; 3.505;-0.595; 2.707;-5.00; 0.235; 6.295; 0.162; 5.716;
05 34 42.39;-05 12 38.14; 3.505;-0.682; 2.271;-2.43; 0.228; 6.347; 0.162; 5.841;88
05 34 33.58;-05 22 08.81; 3.505;-0.482; 3.601;-0.81; 0.243; 6.135; 0.160; 5.567;99
05 36 02.76;-05 15 27.14; 3.476;-0.555; 2.742;-2.08; 0.168; 5.399;      ;      ;
05 34 12.71;-05 41 36.45; 3.509;-1.010; 0.619;-3.72; 0.210; 6.606; 0.175; 6.273;
05 35 41.23;-05 38 29.50; 3.513;-0.804; 1.755;-1.85; 0.240; 6.458; 0.185; 6.105;
05 35 17.14;-05 12 39.36; 3.495;-0.924; 0.961;-2.49; 0.180; 6.473; 0.135; 6.063;99
05 35 31.55;-05 40 27.83; 3.609;-0.247; 5.618;-0.43; 0.788; 6.590; 0.790; 6.617;
05 34 32.03;-05 11 24.83; 3.485;-0.525; 3.017;-2.16; 0.192; 5.673; 0.102; 5.271;84
05 35 06.43;-05 27 04.73; 3.501;-0.385; 3.918;-1.45; 0.240; 5.708; 0.147; 5.436;
05 34 48.82;-05 33 33.08; 3.542;-0.671; 2.780;-0.99; 0.343; 6.471; 0.320; 6.289;99
05 35 13.51;-05 17 17.36; 3.533;-0.650; 2.733;-1.59; 0.315; 6.400; 0.275; 6.175;99
05 34 18.68;-05 37 08.12; 3.509;-0.658; 2.822;-0.77; 0.243; 6.338; 0.172; 5.876;
05 35 10.18;-05 20 21.13; 3.524;-0.922; 1.264;-1.69; 0.265; 6.625; 0.235; 6.359;99
05 35 02.75;-05 19 44.59; 3.569;-0.446; 4.794;-0.36; 0.468; 6.416; 0.470; 6.342;99
05 34 24.06;-05 42 22.13; 3.524;-0.615; 2.930;-1.31; 0.287; 6.332; 0.230; 6.026;
05 36 03.36;-05 24 23.23; 3.505;-1.035; 0.530;-5.00; 0.195; 6.597; 0.165; 6.268;
05 35 15.33;-05 13 37.94; 3.524;-0.757; 2.121;-5.00; 0.278; 6.463; 0.230; 6.181;99
05 36 07.04;-05 34 18.31; 3.551;-0.495; 4.273;-0.46; 0.382; 6.333; 0.365; 6.234;
05 35 13.75;-05 34 54.95; 3.505;-0.259; 4.885;-0.81; 0.250; 5.624; 0.155; 5.365;
05 35 10.90;-05 22 46.42; 3.539;-1.180; 0.000;-5.00; 0.290; 7.036; 0.305; 6.989;
05 35 12.05;-05 14 14.66; 3.537;-1.181; 0.000;-5.00; 0.282; 7.018; 0.300; 6.972;
05 34 04.40;-05 36 26.42; 3.501;-0.902; 1.249;-2.49; 0.198; 6.485; 0.153; 6.092;
05 35 08.67;-05 29 01.54; 3.591;-0.465; 4.119;-0.88; 0.630; 6.710; 0.640; 6.686;99
05 35 18.80;-05 17 29.18; 3.872; 1.282;12.144;-5.00; 1.945; 6.866; 1.962; 6.706;99
05 34 54.84;-05 25 12.64; 3.533;-0.260; 5.338;-0.58; 0.322; 6.079; 0.270; 5.717;99
05 35 50.97;-05 33 13.34; 3.485;-1.125; 0.000;-5.00; 0.138; 6.558; 0.110; 6.179;99
05 35 18.09;-05 15 46.16; 3.524;-0.724; 2.393;-5.00; 0.280; 6.426; 0.230; 6.145;99
05 34 40.94;-05 26 00.02; 3.585;-0.552; 4.655;-0.28; 0.585; 6.766; 0.605; 6.759;99
05 35 02.08;-05 18 22.74; 3.495;-0.502; 3.345;-5.00; 0.218; 6.056; 0.130; 5.397;99
05 35 06.46;-05 31 09.26; 3.505;-0.612; 3.133;-0.81; 0.233; 6.305; 0.162; 5.740;99
05 35 18.94;-05 20 52.25; 3.609;-0.562; 3.433;-5.00; 0.805; 7.131; 0.755; 7.018;97
05 34 02.92;-05 39 21.17; 3.509;-1.061; 0.557;-5.00; 0.203; 6.645; 0.177; 6.324;
05 35 14.63;-05 16 46.11; 3.507;-0.323; 4.694;-0.79; 0.255; 5.744; 0.162; 5.488;
05 35 42.67;-05 40 42.29; 3.509;-0.821; 1.849;-1.75; 0.228; 6.450; 0.175; 6.083;
05 35 25.54;-05 34 04.76; 3.551;-0.702; 3.319;-0.46; 0.375; 6.577; 0.365; 6.445;
05 35 18.02;-05 24 03.09; 3.569;-0.836; 2.908;-0.36; 0.455; 6.937; 0.480; 6.904;
05 35 06.91;-05 26 00.54; 3.501;-1.047; 0.589;-5.00; 0.185; 6.582; 0.153; 6.243;
05 35 11.73;-05 23 51.90; 3.507;-1.173; 0.000;-1.96; 0.190; 6.723; 0.172; 6.444;
05 34 59.31;-05 23 32.65; 3.476;-0.650; 2.476;-5.00; 0.160; 5.531;      ;      ;99
05 35 05.61;-05 18 24.82; 3.515;-0.454; 3.809;-5.00; 0.268; 6.170; 0.190; 5.729;
05 33 56.57;-05 39 04.40; 3.515;-1.032; 0.793;-2.61; 0.225; 6.662; 0.192; 6.353;
05 35 33.59;-05 15 23.21; 3.555;-0.614; 3.164;-5.00; 0.390; 6.496; 0.380; 6.372;
05 35 23.51;-05 34 23.40; 3.509;-1.076; 0.534;-2.20; 0.203; 6.659; 0.177; 6.350;
05 34 25.54;-05 37 02.32; 3.515;-0.586; 3.474;-0.72; 0.262; 6.290; 0.190; 5.870;
05 35 16.82;-05 39 17.01; 3.505;-0.477; 3.781;-1.06; 0.243; 6.135; 0.160; 5.548;
05 35 57.68;-05 17 46.67; 3.495;-1.155; 0.000;-5.00; 0.160; 6.617; 0.138; 6.291;99
05 35 38.73;-05 16 59.06; 3.476;-0.949; 0.937;-5.00; 0.130; 6.379; 0.100; 5.973;99
05 34 22.39;-05 22 26.88; 3.485;-0.794; 1.839;-1.99; 0.168; 6.379; 0.108; 5.618;
05 34 40.00;-05 26 04.08; 3.476;-0.785; 1.813;-2.29; 0.147; 5.748; 0.100; 5.576;99
05 35 20.47;-05 29 11.00; 3.472;-1.048; 0.399;-5.00; 0.112; 6.398;      ;      ;99
05 35 38.90;-05 36 33.26; 3.495;-0.284; 4.805;-0.90; 0.228; 5.434; 0.127; 5.252;32
05 35 15.69;-05 28 15.46; 3.505;-0.932; 1.273;-5.00; 0.205; 6.519; 0.162; 6.163;99
05 35 18.27;-05 23 07.48; 3.515;-1.191; 0.000;-5.00; 0.207; 6.809; 0.192; 6.576;
05 35 39.02;-05 21 01.77; 3.577;-0.359; 4.660;-1.43; 0.512; 6.382; 0.530; 6.344;99
05 35 04.17;-05 22 24.40; 3.495;-0.790; 2.098;-1.11; 0.192; 6.401; 0.135; 5.859;99
05 35 19.67;-05 35 35.76; 3.495;-1.167; 0.000;-5.00; 0.160; 6.617; 0.138; 6.302;99
05 35 26.93;-05 24 48.06; 3.485;-0.869; 1.684;-0.97; 0.162; 6.427; 0.108; 5.782; 0
05 34 38.19;-05 35 49.59; 3.509;-0.774; 2.438;-0.84; 0.233; 6.418; 0.175; 6.033;
05 34 47.92;-05 35 43.90; 3.505;-0.419; 4.112;-1.22; 0.245; 5.821; 0.157; 5.501;88
05 35 17.38;-05 12 29.54; 3.476;-1.084; 0.308;-5.00; 0.117; 6.522; 0.100; 6.102;99
05 34 11.68;-05 33 55.94; 3.569;-1.116; 0.669;-4.10; 0.440; 7.331; 0.480; 7.368;
05 34 56.36;-05 33 40.50; 3.476;-1.147; 0.000;-5.00; 0.112; 6.559; 0.100; 6.171;99
05 35 06.46;-05 21 18.84; 3.495;-0.939; 1.236;-5.00; 0.180; 6.482; 0.135; 6.075;99
05 35 21.91;-05 15 01.13; 3.515;-0.210; 5.226;-5.00; 0.273; 5.784; 0.185; 5.505;98
05 34 29.35;-05 33 39.70; 3.544;-1.149; 0.463;-5.00; 0.313; 7.057; 0.335; 7.022;
05 34 46.34;-05 18 54.50; 3.569;-1.005; 1.354;-1.39; 0.447; 7.183; 0.480; 7.152; 0
05 35 23.98;-05 25 09.80; 3.569;-1.072; 1.846;-0.36; 0.445; 7.273; 0.480; 7.299;99
05 34 56.62;-05 11 12.53; 3.542;-0.725; 2.733;-1.57; 0.340; 6.532; 0.320; 6.350;99
05 35 10.41;-05 19 52.40; 3.537;-0.196; 5.454;-5.00; 0.338; 6.043; 0.290; 5.694;
05 34 54.65;-05 28 18.27; 3.533;-1.043; 1.073;-1.36; 0.282; 6.824; 0.280; 6.668;99
05 34 55.55;-05 36 06.20; 3.577;-0.363; 5.119;-0.61; 0.512; 6.382; 0.530; 6.356;29
05 35 08.39;-05 28 29.33; 3.690;      ; 5.893; 0.00;      ;      ;      ;      ;99
05 34 18.12;-05 28 33.53; 3.560;-0.291; 5.819;-0.41; 0.423; 6.170; 0.410; 6.169;
05 35 01.58;-05 25 33.87; 3.495;-0.739; 2.576;-0.90; 0.195; 6.372; 0.135; 5.738;99
05 35 20.24;-05 13 59.49; 3.505;-0.194; 5.290;-5.00; 0.250; 5.527; 0.155; 5.269;99
05 34 25.79;-05 35 46.60; 3.513;-1.138; 0.428;-5.00; 0.207; 6.746; 0.188; 6.461;
05 35 28.41;-05 19 02.17; 3.533;-0.398; 4.919;-0.58; 0.322; 6.170; 0.275; 5.887;99
05 35 41.13;-05 42 51.19; 3.507;-1.088; 0.674;-5.00; 0.195; 6.649; 0.170; 6.329;
05 34 46.09;-05 37 31.23; 3.505;-0.961; 1.352;-1.95; 0.203; 6.543; 0.162; 6.188;98
05 35 20.28;-05 32 16.89; 3.476;-0.659; 2.868;-1.03; 0.157; 5.509;      ;      ;98
05 34 27.12;-05 16 48.79; 3.495;-1.001; 1.071;-1.80; 0.172; 6.514; 0.135; 6.135;
05 35 02.02;-05 18 34.22; 3.533;-0.320; 4.881;-5.00; 0.325; 6.117; 0.275; 5.806;99
05 34 44.48;-05 24 38.45; 3.515;-1.067; 0.947;-1.65; 0.220; 6.689; 0.192; 6.405;99
05 35 28.28;-05 37 19.66; 3.501;-0.721; 2.733;-1.19; 0.215; 6.370; 0.150; 5.827;
05 35 42.06;-05 12 59.57; 3.495;-0.724; 2.595;-1.69; 0.198; 6.365; 0.132; 5.694;
05 35 30.64;-05 15 16.35; 3.499;-0.907; 1.636;-5.00; 0.192; 6.481; 0.147; 6.082;
05 34 25.66;-05 21 57.60; 3.551;-0.540; 4.113;-0.81; 0.382; 6.389; 0.365; 6.261;
05 35 22.25;-05 18 08.83; 3.501;-0.649; 3.034;-1.96; 0.220; 6.330; 0.153; 5.718;
05 35 13.10;-05 21 13.43; 3.542;-0.629; 3.933;-0.52; 0.345; 6.425; 0.320; 6.245;
05 34 13.51;-05 35 38.66; 3.553;-0.501; 4.784;-0.45; 0.390; 6.350; 0.375; 6.253;
05 35 07.86;-05 17 05.34; 3.533;-1.146; 0.663;-2.20; 0.275; 6.936; 0.280; 6.844;99
05 34 47.93;-05 23 40.35; 3.533;-0.450; 4.814;-0.58; 0.322; 6.208; 0.275; 5.927;99
05 35 56.77;-05 19 57.95; 3.476;-0.701; 2.802;-1.03; 0.155; 5.576;      ;      ;95
05 34 58.38;-05 21 16.60; 3.560;-0.494; 4.231;-5.00; 0.420; 6.397; 0.410; 6.291;99
05 34 28.22;-05 26 39.73; 3.485;-0.907; 1.634;-3.13; 0.157; 6.449; 0.108; 5.927;
05 34 30.59;-05 11 04.93; 3.524;-1.002; 1.486;-1.46; 0.255; 6.695; 0.235; 6.451;17
05 34 07.14;-05 22 27.06; 3.499;-0.903; 1.787;-2.24; 0.192; 6.481; 0.147; 6.082;
05 35 01.32;-05 18 21.30; 3.509;-0.854; 2.137;-5.00; 0.225; 6.484; 0.175; 6.121;
05 35 26.96;-05 24 00.72; 3.476;-1.215; 0.000;-5.00; 0.105; 6.598; 0.100; 6.229;99
05 35 34.62;-05 15 52.73; 3.509;-0.992; 1.438;-5.00; 0.210; 6.593; 0.175; 6.253;
05 34 37.66;-05 26 21.57; 3.495;-0.539; 3.922;-0.90; 0.215; 6.203; 0.130; 5.410;99
05 35 17.86;-05 30 40.81; 3.533;-0.418; 5.087;-0.58; 0.322; 6.189; 0.275; 5.904;99
05 35 05.19;-05 26 03.65; 3.505;-0.850; 2.288;-1.19; 0.213; 6.464; 0.162; 6.076;99
05 35 20.16;-05 34 57.26; 3.533;-0.562; 4.335;-0.58; 0.317; 6.311; 0.275; 6.094;99
05 35 13.04;-05 34 03.59; 3.485;-0.796; 2.368;-1.82; 0.168; 6.379; 0.108; 5.618;99
05 35 50.13;-05 10 29.44; 3.495;-1.223; 0.199;-5.00; 0.155; 6.657; 0.138; 6.363;99
05 34 30.12;-05 40 15.24; 3.503;-0.338; 5.163;-0.83; 0.245; 5.685; 0.153; 5.438;
05 34 16.96;-05 30 53.27; 3.497;-0.819; 2.395;-1.49; 0.195; 6.418; 0.142; 5.970;
05 35 22.68;-05 16 14.04; 3.551;-0.610; 3.752;-5.00; 0.377; 6.467; 0.365; 6.323;
05 34 04.65;-05 22 22.43; 3.517; 0.008; 7.196;-0.71; 0.275; 5.012; 0.188; 5.000;
05 35 52.49;-05 27 57.42; 3.505;-1.188; 0.505;-3.16; 0.183; 6.708; 0.165; 6.423;99
05 36 01.83;-05 33 12.78; 3.914;      ; 6.341; 0.00;      ;      ;      ;      ; 0
05 34 29.45;-05 23 37.43; 3.485;-1.232; 0.127;-2.84; 0.127; 6.615; 0.110; 6.271;99
05 35 19.79;-05 14 05.34; 3.515;-0.430; 4.895;-0.72; 0.270; 6.120; 0.188; 5.684;98
05 35 13.50;-05 17 31.27; 3.624;-0.276; 5.590;-5.00; 0.955; 6.838; 0.895; 6.814;99
05 35 06.84;-05 42 35.43; 3.524;-1.194; 0.620;-5.00; 0.240; 6.897; 0.235; 6.733;
05 35 20.74;-05 37 53.77; 3.505;-0.619; 3.782;-0.81; 0.233; 6.305; 0.162; 5.756;99
05 34 52.36;-05 25 00.71; 3.485;-0.614; 3.479;-1.26; 0.185; 6.097; 0.102; 5.302;
05 34 29.38;-05 25 51.89; 3.505;-0.885; 2.270;-1.05; 0.210; 6.486; 0.162; 6.113;96
05 35 17.97;-05 16 45.10; 3.548;-0.366; 5.080;-5.00; 0.373; 6.186; 0.345; 5.985;
05 35 04.21;-05 15 21.50; 3.569;-0.707; 3.382;-1.90; 0.460; 6.766; 0.475; 6.724;99
05 35 42.09;-05 20 06.06; 3.515;-1.186; 0.634;-5.00; 0.210; 6.810; 0.192; 6.557; 0
05 34 07.12;-05 15 59.35; 3.515;-0.608; 3.703;-1.58; 0.260; 6.309; 0.190; 5.899;
05 34 46.69;-05 21 24.69; 3.533;-0.792; 2.947;-1.03; 0.305; 6.550; 0.280; 6.326;99
05 34 49.07;-05 28 08.94; 3.476;-0.537; 3.925;-1.03; 0.168; 5.373;      ;      ;99
05 35 12.94;-05 28 49.83; 3.530;-0.691; 3.338;-5.00; 0.300; 6.421; 0.255; 6.173;
05 34 54.11;-05 22 26.52; 3.485;-1.053; 1.136;-2.53; 0.142; 6.521; 0.110; 6.109;99
05 34 53.94;-05 27 49.12; 3.533;-0.471; 4.996;-0.58; 0.322; 6.228; 0.275; 5.947;99
05 35 16.78;-05 16 53.33; 3.505;-0.801; 2.614;-5.00; 0.218; 6.433; 0.162; 6.026;99
05 35 54.50;-05 26 45.62; 3.577;-0.709; 3.725;-0.72; 0.515; 6.877; 0.540; 6.845;98
