RAJ2000;DEJ2000;logT;logL;AV;logAc;M.S0;logA0;M.P9;logA9;Mm
"h:m:s";"d:m:s";[K];[Lsun];mag;[-];Msun;[yr];Msun;[yr];%
-----------;------------;------;------;------;-----;------;------;------;------;--
05 35 43.40;-05 32 44.19; 3.569;-0.430; 0.149;-5.00; 0.465; 6.388; 0.470; 6.329;99
05 35 51.04;-05 15 09.19; 3.609;-0.401; 0.312;-5.00; 0.813; 6.867; 0.780; 6.792;78
05 35 29.57;-05 24 56.82; 3.569;-0.298; 0.892;-1.77; 0.468; 6.236; 0.470; 6.187;99
05 35 17.49;-05 39 28.61; 3.585;-0.480; 0.000;-5.00; 0.580; 6.646; 0.600; 6.650;
05 35 29.09;-05 29 10.34; 3.585;-0.211; 1.524;-1.13; 0.565; 6.268; 0.590; 6.276;99
05 35 15.89;-05 28 52.83; 3.542;-0.373; 0.470;-2.60; 0.355; 6.170; 0.320; 5.943;99
05 35 11.97;-05 20 33.12; 3.675; 0.519; 5.594;-0.68; 1.780; 6.369; 1.663; 6.236;99
05 35 05.74;-05 26 26.08; 3.533;-0.360; 0.514;-5.00; 0.325; 6.141; 0.275; 5.841;99
05 34 49.29;-05 18 55.41; 3.533;-0.459; 0.000;-5.00; 0.322; 6.218; 0.275; 5.934;99
05 35 24.64;-05 11 58.34; 3.528;-0.472; 0.000;-1.33; 0.303; 6.210; 0.250; 5.906;
05 34 27.93;-05 26 34.69; 3.624;-0.227; 1.471;-1.19; 0.960; 6.772; 0.910; 6.761;
05 35 27.47;-05 17 09.79; 3.585;-0.110; 2.065;-1.42; 0.563; 6.140; 0.580; 6.114;99
05 35 22.90;-05 32 29.06; 3.569;-0.327; 0.960;-1.18; 0.465; 6.263; 0.470; 6.219;99
05 34 54.25;-05 21 35.38; 3.551;-0.409; 0.472;-1.26; 0.385; 6.239; 0.365; 6.175;99
05 35 08.02;-05 32 44.38; 3.585;-0.507; 0.000;-1.42; 0.582; 6.689; 0.605; 6.698;99
05 34 14.93;-05 15 49.62; 3.569;-0.478; 0.090;-5.00; 0.468; 6.461; 0.475; 6.406;
05 35 34.21;-05 27 18.25; 3.520;-0.423; 0.195;-5.00; 0.285; 6.157; 0.210; 5.770;
05 34 55.98;-05 31 13.04; 3.551;-0.383; 0.553;-2.88; 0.385; 6.215; 0.365; 6.154;99
05 35 13.51;-05 22 19.62; 3.560;-0.315; 0.945;-5.00; 0.423; 6.195; 0.410; 6.186;99
05 35 24.24;-05 29 57.13; 3.551;-0.368; 0.656;-2.62; 0.385; 6.203; 0.365; 6.147;99
05 35 27.49;-05 27 25.86; 3.533;-0.415; 0.332;-5.00; 0.322; 6.180; 0.275; 5.904;99
05 34 37.46;-05 34 51.93; 3.675;-0.166; 2.235;-0.58; 1.095; 7.223; 1.050; 7.146;92
05 35 39.03;-05 40 59.86; 3.569;-0.505; 0.000;-5.00; 0.465; 6.492; 0.475; 6.433;
05 35 20.30;-05 30 39.50; 3.495;-0.432; 0.000;-5.00; 0.222; 5.653; 0.130; 5.370;99
05 35 29.33;-05 25 46.18; 3.515;-0.338; 0.673;-2.09; 0.273; 5.913; 0.185; 5.605;99
05 34 47.90;-05 30 46.56; 3.515;-0.468; 0.000;-5.00; 0.268; 6.189; 0.190; 5.742;99
05 34 31.29;-05 28 54.78; 3.515;-0.322; 0.778;-2.09; 0.273; 5.900; 0.185; 5.596;99
05 35 46.42;-05 41 00.74; 3.515;-0.402; 0.352;-5.00; 0.270; 5.986; 0.188; 5.652;
05 35 08.22;-05 37 04.81; 3.585;-0.276; 1.480;-0.88; 0.572; 6.356; 0.595; 6.365;95
05 34 42.74;-05 28 37.53; 3.541;-0.110; 2.192;-1.04; 0.347; 5.995; 0.310; 5.576;
05 35 24.48;-05 16 59.93; 3.569;-0.192; 2.115;-0.63; 0.468; 6.125; 0.465; 6.089;99
05 35 12.82;-05 15 24.00; 3.609; 0.013; 2.844;-1.59; 0.748; 6.200; 0.785; 6.224;99
05 34 37.69;-05 43 04.40; 3.515;-0.483; 0.000;-5.00; 0.268; 6.204; 0.190; 5.766;
